batch_idx,algo,server_id,capacity,mu_j,sigma_j,actual_load,delta,overload
0,dg,0,3436.350297118406,2868.01567935056,455.3431673390556,2888.2155813214927,20.199901970932842,0
0,dg,1,4876.785766024791,4053.0011767378296,490.9122227922671,4262.88656764023,209.88539090240056,0
0,dg,2,4329.984854528513,3581.4294826732726,543.8908113230417,4586.487867048805,1005.0583843755326,1
0,dg,3,3996.6462104925918,3319.6966253844093,582.8360920683868,3991.9123612812555,672.2157358968461,0
0,dg,4,2890.046601106091,2395.533905412141,372.13691206036367,2743.8607919908172,348.3268865786763,0
0,dg,5,2889.986300840507,2499.6208004794644,351.5260616446228,2830.2536799172995,330.6328794378351,0
0,dg,6,2645.2090304204985,2287.5304983284605,445.6231814745994,2669.8680432969018,382.3375449684413,1
0,dg,7,4665.440364437338,3855.205624427902,533.4331821901776,4575.248024109256,720.0423996813543,0
0,dg,8,4002.7875293580223,3386.126176548605,337.10072860151183,3605.203242120267,219.07706557166193,0
0,dg,9,4270.181444490114,3552.810425667883,482.66227387935703,3616.657974040792,63.84754837290893,0
0,rosa,0,3436.350297118406,2847.0247822443084,429.6292849185977,2837.7605764300015,-9.264205814306933,0
0,rosa,1,4876.785766024791,4139.3112810170915,554.3752096958219,4616.5113750307455,477.20009401365405,0
0,rosa,2,4329.984854528513,3624.8141949229293,519.1232959979055,4391.885772062608,767.071577139679,1
0,rosa,3,3996.6462104925918,3380.4995838637856,481.9495128344404,4040.356340566082,659.8567567022965,1
0,rosa,4,2890.046601106091,2377.3059799146945,378.14250224739635,2668.402677719511,291.09669780481636,0
0,rosa,5,2889.986300840507,2385.2816423469967,372.5573625138568,2729.341671897337,344.06002955034046,0
0,rosa,6,2645.2090304204985,2168.895164709627,349.5704932295179,2815.193770345463,646.2986056358359,1
0,rosa,7,4665.440364437338,3946.724543204857,538.8411605703466,4327.929932677804,381.20538947294654,0
0,rosa,8,4002.7875293580223,3362.7467979942726,480.78431853047505,4261.094523797029,898.3477258027565,1
0,rosa,9,4270.181444490114,3566.3664247919655,506.42214403712757,3797.649407401518,231.28298260955262,0
0,vag,0,3436.350297118406,2719.2677302268557,526.7468208504869,3810.1709496745525,1090.9032194476968,1
0,vag,1,4876.785766024791,4190.668276926251,522.4465699831402,4508.098561923945,317.4302849976948,0
0,vag,2,4329.984854528513,3866.284628337649,249.05335941919859,3968.57211839113,102.28749005348118,0
0,vag,3,3996.6462104925918,3264.2732624316836,564.3715271198553,4244.4903039862875,980.2170415546038,1
0,vag,4,2890.046601106091,2481.342568708012,297.30224668518605,2876.2980488561057,394.95548014809356,0
0,vag,5,2889.986300840507,2166.970527777218,554.1774701068271,2645.485944736917,478.515416959699,0
0,vag,6,2645.2090304204985,2069.32501268558,419.8141520781134,1890.6732659505888,-178.65174673499132,0
0,vag,7,4665.440364437338,4035.036513486998,479.55784281628604,4043.6595728726747,8.623059385676697,0
0,vag,8,4002.7875293580223,3205.3337463880393,620.6165877003822,3680.4421178280563,475.108371440017,0
0,vag,9,4270.181444490114,3800.468128042242,240.4022088028873,3930.3936781610123,129.9255501187704,0
0,nsga,0,3436.350297118406,2911.796607110365,535.5724000192663,3242.3150493652815,330.5184422549164,0
0,nsga,1,4876.785766024791,3621.17834067376,512.2044242793238,4397.904237485822,776.7258968120618,0
0,nsga,2,4329.984854528513,3705.11044524526,471.59456127725616,3897.409965078896,192.29951983363617,0
0,nsga,3,3996.6462104925918,3418.119296740467,473.74831635021627,3430.4916854757744,12.372388735307595,0
0,nsga,4,2890.046601106091,2451.8272505633627,381.57876630925284,2423.733658217374,-28.09359234598878,0
0,nsga,5,2889.986300840507,2474.302664780943,415.4978420618096,3216.69968803704,742.3970232560969,1
0,nsga,6,2645.2090304204985,2255.9777943435856,440.5630395919416,3103.579334083357,847.6015397397714,1
0,nsga,7,4665.440364437338,3909.9947954576473,427.26635731603324,4283.331246525456,373.3364510678084,0
0,nsga,8,4002.7875293580223,3409.6891567725756,566.23621754093,4556.455785259368,1146.7666284867923,1
0,nsga,9,4270.181444490114,3640.9740433225625,405.077618804474,4162.731453087421,521.7574097648585,0
1,dg,0,3436.350297118406,3031.613306058809,441.59394085340534,3808.8481227865386,777.2348167277296,1
1,dg,1,4876.785766024791,4180.390429586531,478.55697957934916,4194.288772882246,13.898343295714767,0
1,dg,2,4329.984854528513,3815.894424838276,538.9726676708451,4615.592297549368,799.6978727110918,1
1,dg,3,3996.6462104925918,3453.447577366335,525.2189877785055,3192.6076810130116,-260.8398963533232,0
1,dg,4,2890.046601106091,2541.0317447860143,354.4085592288474,2548.575701811782,7.543957025767668,0
1,dg,5,2889.986300840507,2475.2553084470587,392.4841352233896,3222.2170526077234,746.9617441606647,1
1,dg,6,2645.2090304204985,2312.7358586063506,370.61463779082516,2739.6736566550594,426.9377980487088,1
1,dg,7,4665.440364437338,4013.1257489596915,624.8931520469459,5024.742968954145,1011.6172199944535,1
1,dg,8,4002.7875293580223,3527.868221272195,446.08977943645175,3678.354603954935,150.48638268274,0
1,dg,9,4270.181444490114,3686.262032423902,510.4576507124466,3935.29845469665,249.03642227274804,0
1,rosa,0,3436.350297118406,2823.5764372055096,529.3394332221626,3291.979682027157,468.4032448216476,0
1,rosa,1,4876.785766024791,4049.3477981724427,609.1809394572257,4229.605093160911,180.25729498846795,0
1,rosa,2,4329.984854528513,3594.3584885393025,543.5181619348475,4412.964063322466,818.6055747831638,1
1,rosa,3,3996.6462104925918,3543.5848375281985,523.409083448539,4467.670994727181,924.0861571989826,1
1,rosa,4,2890.046601106091,2806.2203218658005,311.3149406920693,2825.49866014609,19.278338280289518,0
1,rosa,5,2889.986300840507,2769.2318567077127,366.8075831165648,2851.9421838627445,82.71032715503179,0
1,rosa,6,2645.2090304204985,2287.7021651640653,393.622861065405,2198.472495215696,-89.22966994836906,0
1,rosa,7,4665.440364437338,4389.342282929616,396.6812983554982,4157.096272896681,-232.24601003293537,0
1,rosa,8,4002.7875293580223,3549.0280397562165,460.3222995424908,4361.2510911,812.2230513437835,1
1,rosa,9,4270.181444490114,3701.065541938011,530.1889892588758,3875.358234272374,174.29269233436298,0
1,vag,0,3436.350297118406,2671.8675498793195,612.1807778585579,4044.950073513603,1373.0825236342835,1
1,vag,1,4876.785766024791,4192.793854519762,617.7960201240596,5463.818023399036,1271.024168879274,1
1,vag,2,4329.984854528513,3537.372214115749,629.7457870583974,3469.9743753586577,-67.39783875709145,0
1,vag,3,3996.6462104925918,3389.5645184073737,560.2175275927383,3660.6733926748248,271.10887426745103,0
1,vag,4,2890.046601106091,2768.185811484819,73.04930266157419,2730.88557158971,-37.30023989510937,0
1,vag,5,2889.986300840507,2206.6427913981697,594.3260314536068,2783.8985697718404,577.2557783736706,0
1,vag,6,2645.2090304204985,2283.749537014243,278.26039840064766,2337.773602679646,54.024065665403214,0
1,vag,7,4665.440364437338,4110.071646668597,409.3270147491351,4192.382528520472,82.31088185187491,0
1,vag,8,4002.7875293580223,3584.657371446902,281.2424197013613,3607.777475907824,23.120104460921993,0
1,vag,9,4270.181444490114,3826.248634217695,328.53075174601776,3850.012006927371,23.763372709676332,0
1,nsga,0,3436.350297118406,3553.3152159904157,521.9388148062721,3548.511538437555,-4.8036775528607905,1
1,nsga,1,4876.785766024791,3352.132043639262,455.777036189485,3719.905249353699,367.77320571443715,0
1,nsga,2,4329.984854528513,3351.337196557397,470.2611410608958,3697.789996610793,346.452800053396,0
