exp,algo,batch_idx,cvr,L0
exp1_moderate,dg,1,0.0674,0.0
exp1_moderate,dg,2,0.1359,0.0
exp1_moderate,dg,3,0.1295,3.861918729492345
exp1_moderate,dg,4,0.1563,0.0
exp1_moderate,dg,5,0.1295,0.0
exp1_moderate,dg,6,0.2172,0.0
exp1_moderate,dg,7,0.1452,0.0
exp1_moderate,dg,8,0.2453,0.0
exp1_moderate,dg,9,0.1545,0.0
exp1_moderate,dg,10,0.2199,0.0
exp1_moderate,dg,11,0.1435,0.0
exp1_moderate,dg,12,0.2071,0.0
exp1_moderate,dg,13,0.2696,0.0
exp1_moderate,dg,14,0.0714,0.0
exp1_moderate,dg,15,0.0318,0.0
exp1_moderate,dg,16,0.1589,0.0
exp1_moderate,dg,17,0.1905,0.0
exp1_moderate,dg,18,0.0879,0.0
exp1_moderate,dg,19,0.1307,0.0
exp1_moderate,dg,20,0.371,0.0
exp1_moderate,dg,21,0.3015,0.0
exp1_moderate,dg,22,0.1594,0.0
exp1_moderate,dg,23,0.1794,0.7245475390786851
exp1_moderate,dg,24,0.1403,0.0
exp1_moderate,dg,25,0.091,0.0
exp1_moderate,dg,26,0.1214,0.0
exp1_moderate,dg,27,0.2205,0.0
exp1_moderate,dg,28,0.1887,155.53091807015244
exp1_moderate,dg,29,0.1316,0.0
exp1_moderate,dg,30,0.3033,124.22131026021884
exp1_moderate,dg,31,0.2389,0.0
exp1_moderate,dg,32,0.3382,0.0
exp1_moderate,dg,33,0.2817,41.36429885928737
exp1_moderate,dg,34,0.0367,0.0
exp1_moderate,dg,35,0.0885,0.0
exp1_moderate,dg,36,0.1434,0.0
exp1_moderate,dg,37,0.2238,0.0
exp1_moderate,dg,38,0.118,63.66703117729696
exp1_moderate,dg,39,0.1467,0.0
exp1_moderate,dg,40,0.1863,3.0587155970094955
exp1_moderate,dg,41,0.1559,0.0
exp1_moderate,dg,42,0.1131,31.76035785879162
exp1_moderate,dg,43,0.0932,0.0
exp1_moderate,dg,44,0.1381,0.0
exp1_moderate,dg,45,0.2162,0.0
exp1_moderate,dg,46,0.1794,0.0
exp1_moderate,dg,47,0.0842,0.0
exp1_moderate,dg,48,0.1255,0.0
exp1_moderate,dg,49,0.1194,0.0
