exp,algo,variant,batch_idx,cvr,L0
exp3_ablation,dg,baseline,1,0.155,0.0
exp3_ablation,dg,baseline,2,0.1394,0.0
exp3_ablation,dg,baseline,3,0.1428,0.0
exp3_ablation,dg,baseline,4,0.1577,0.0
exp3_ablation,dg,baseline,5,0.1576,0.0
exp3_ablation,dg,baseline,6,0.1716,0.0
exp3_ablation,dg,baseline,7,0.1652,0.0
exp3_ablation,dg,baseline,8,0.1574,0.0
exp3_ablation,dg,baseline,9,0.1568,0.0
exp3_ablation,dg,baseline,10,0.1843,0.0
exp3_ablation,dg,baseline,11,0.1433,0.0
exp3_ablation,dg,baseline,12,0.191,0.0
exp3_ablation,dg,baseline,13,0.1327,0.0
exp3_ablation,dg,baseline,14,0.1419,206.27454793957804
exp3_ablation,dg,baseline,15,0.1379,0.0
exp3_ablation,dg,baseline,16,0.1798,0.0
exp3_ablation,dg,baseline,17,0.1778,195.1150480758688
exp3_ablation,dg,baseline,18,0.1753,978.6442187798657
exp3_ablation,dg,baseline,19,0.1561,0.0
exp3_ablation,dg,baseline,20,0.1626,0.0
exp3_ablation,dg,baseline,21,0.1385,0.0
exp3_ablation,dg,baseline,22,0.1813,0.0
exp3_ablation,dg,baseline,23,0.1516,350.0570150665844
exp3_ablation,dg,baseline,24,0.1596,0.0
exp3_ablation,dg,baseline,25,0.1503,0.0
exp3_ablation,dg,baseline,26,0.222,157.84085425470585
exp3_ablation,dg,baseline,27,0.1909,199.83241110315794
exp3_ablation,dg,baseline,28,0.1295,460.88001879152944
exp3_ablation,dg,baseline,29,0.1731,341.0391014588031
exp3_ablation,dg,baseline,30,0.1488,0.0
exp3_ablation,dg,baseline,31,0.1902,0.0
exp3_ablation,dg,baseline,32,0.1486,0.0
exp3_ablation,dg,baseline,33,0.1804,0.0
exp3_ablation,dg,baseline,34,0.2093,0.0
exp3_ablation,dg,baseline,35,0.1584,0.0
exp3_ablation,dg,baseline,36,0.1486,0.0
exp3_ablation,dg,baseline,37,0.1738,0.0
exp3_ablation,dg,baseline,38,0.1508,0.0
exp3_ablation,dg,baseline,39,0.1519,0.0
exp3_ablation,dg,baseline,40,0.1581,533.2803832390291
exp3_ablation,dg,baseline,41,0.1806,0.0
exp3_ablation,dg,baseline,42,0.168,0.0
exp3_ablation,dg,baseline,43,0.1856,0.0
exp3_ablation,dg,baseline,44,0.1632,0.0
exp3_ablation,dg,baseline,45,0.1587,0.0
exp3_ablation,dg,baseline,46,0.1733,0.0
exp3_ablation,dg,baseline,47,0.1718,0.0
exp3_ablation,dg,baseline,48,0.1789,0.0
exp3_ablation,dg,baseline,49,0.1623,0.0
exp3_ablation,dg,baseline,50,0.1984,0.0
exp3_ablation,nsga,baseline,1,0.2296,0.0
exp3_ablation,nsga,baseline,2,0.4148,0.0
exp3_ablation,nsga,baseline,3,0.2374,105.78514142694985
exp3_ablation,nsga,baseline,4,0.2101,0.0
exp3_ablation,nsga,baseline,5,0.311,0.0
exp3_ablation,nsga,baseline,6,0.2557,556.3829592652264
exp3_ablation,nsga,baseline,7,0.3905,0.0
exp3_ablation,nsga,baseline,8,0.4636,306.7786110781635
exp3_ablation,nsga,baseline,9,0.1941,0.0
exp3_ablation,nsga,baseline,10,0.3147,0.0
exp3_ablation,nsga,baseline,11,0.2747,0.0
exp3_ablation,nsga,baseline,12,0.4926,0.0
exp3_ablation,nsga,baseline,13,0.5639,167.2990254605984
exp3_ablation,nsga,baseline,14,0.9661,295.5242932490628
exp3_ablation,nsga,baseline,15,0.9722,1616.8339179711347
exp3_ablation,nsga,baseline,16,0.3153,1101.6594534698907
exp3_ablation,nsga,baseline,17,0.982,878.0731962364089
exp3_ablation,nsga,baseline,18,0.3677,2545.0004441521205
exp3_ablation,nsga,baseline,19,0.337,0.0
exp3_ablation,nsga,baseline,20,0.2899,0.0
exp3_ablation,nsga,baseline,21,0.2852,0.0
exp3_ablation,nsga,baseline,22,0.3352,0.0
exp3_ablation,nsga,baseline,23,0.3145,182.8117032258515
exp3_ablation,nsga,baseline,24,0.3044,408.1790514130216
exp3_ablation,nsga,baseline,25,0.2655,0.0
exp3_ablation,nsga,baseline,26,0.3654,0.0
exp3_ablation,nsga,baseline,27,0.9778,461.97692468227706
exp3_ablation,nsga,baseline,28,0.9956,2804.755711108127
exp3_ablation,nsga,baseline,29,0.9753,1683.9396358921958
exp3_ablation,nsga,baseline,30,0.7516,3629.7650614472605
exp3_ablation,nsga,baseline,31,0.6442,2025.1951601304272
exp3_ablation,nsga,baseline,32,0.1958,641.8167861165311
exp3_ablation,nsga,baseline,33,0.2972,0.0
exp3_ablation,nsga,baseline,34,0.3131,123.82380234860739
exp3_ablation,nsga,baseline,35,0.3368,630.2061486842522
exp3_ablation,nsga,baseline,36,0.9458,151.59668550809783
exp3_ablation,nsga,baseline,37,0.982,2235.652252427748
exp3_ablation,nsga,baseline,38,0.5056,1915.9162749487696
exp3_ablation,nsga,baseline,39,0.2127,0.0
exp3_ablation,nsga,baseline,40,0.3364,0.0
exp3_ablation,nsga,baseline,41,0.3698,0.0
exp3_ablation,nsga,baseline,42,0.2863,0.0
exp3_ablation,nsga,baseline,43,0.3228,0.0
exp3_ablation,nsga,baseline,44,0.3677,1330.2459497703085
exp3_ablation,nsga,baseline,45,0.2045,35.593950229882466
exp3_ablation,nsga,baseline,46,0.2378,0.0
exp3_ablation,nsga,baseline,47,0.1898,0.0
exp3_ablation,nsga,baseline,48,0.2695,0.0
exp3_ablation,nsga,baseline,49,0.409,0.0
exp3_ablation,nsga,baseline,50,0.5395,0.0
exp3_ablation,rosa,full,1,0.1174,0.0
exp3_ablation,rosa,full,2,0.1225,0.0
exp3_ablation,rosa,full,3,0.1228,0.0
exp3_ablation,rosa,full,4,0.1247,0.0
exp3_ablation,rosa,full,5,0.1184,0.0
exp3_ablation,rosa,full,6,0.1096,0.0
exp3_ablation,rosa,full,7,0.1237,0.0
exp3_ablation,rosa,full,8,0.1193,0.0
exp3_ablation,rosa,full,9,0.121,0.0
exp3_ablation,rosa,full,10,0.1253,0.0
exp3_ablation,rosa,full,11,0.1086,0.0
exp3_ablation,rosa,full,12,0.1346,0.0
exp3_ablation,rosa,full,13,0.1151,0.0
exp3_ablation,rosa,full,14,0.131,378.5534855119695
exp3_ablation,rosa,full,15,0.1035,0.0
exp3_ablation,rosa,full,16,0.1342,0.0
exp3_ablation,rosa,full,17,0.1284,0.0
exp3_ablation,rosa,full,18,0.1148,0.0
exp3_ablation,rosa,full,19,0.1222,0.0
exp3_ablation,rosa,full,20,0.1387,354.52959149352137
exp3_ablation,rosa,full,21,0.1272,0.0
exp3_ablation,rosa,full,22,0.1264,0.0
exp3_ablation,rosa,full,23,0.11,0.0
exp3_ablation,rosa,full,24,0.1135,0.0
exp3_ablation,rosa,full,25,0.122,0.0
exp3_ablation,rosa,full,26,0.1443,0.0
exp3_ablation,rosa,full,27,0.1148,0.0
exp3_ablation,rosa,full,28,0.099,0.0
exp3_ablation,rosa,full,29,0.1099,0.0
exp3_ablation,rosa,full,30,0.1229,0.0
exp3_ablation,rosa,full,31,0.1304,58.80973490374345
exp3_ablation,rosa,full,32,0.1204,0.0
exp3_ablation,rosa,full,33,0.12,0.0
exp3_ablation,rosa,full,34,0.1343,0.0
exp3_ablation,rosa,full,35,0.1284,0.0
exp3_ablation,rosa,full,36,0.1183,0.0
